prefix,name,type
us-gaap,AccountingStandardsUpdate201710CumulativeEffectPeriodOfAdoptionMember,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201604Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201905Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201616Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201904Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201711CumulativeEffectPeriodOfAdoptionMember,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdateTransitionMethodAbstract,xbrli:stringItemType
us-gaap,AccountingStandardsUpdate201605Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate202110ProspectiveMember,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201607Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201517Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201710RetrospectiveMember,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201812Abstract,xbrli:stringItemType
us-gaap,AccountingStandardsUpdate202006Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201812Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate202009Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate202003Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdateExtensibleList,enum2:enumerationSetItemType
us-gaap,AccountingStandardsUpdate201618Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate202008Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201606Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201901RetrospectiveMember,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201815ProspectiveMember,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201820Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201820ProspectiveMember,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201802Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201904RetrospectiveForDerivativesAndHedgingMember,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201613Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201803Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201604RetrospectiveMember,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201705Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201816Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate202010CumulativeEffectPeriodOfAdoptionMember,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate202101RetrospectiveMember,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201701Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201409CumulativeEffectPeriodOfAdoptionMember,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201902TransitionAbstract,xbrli:stringItemType
us-gaap,AccountingStandardsUpdate201619Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201808RetrospectiveMember,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201715Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201908AdoptionFiscalYearAfterAccountingStandardsUpdate201807CumulativeEffectPeriodOfAdoptionMember,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201818Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201807Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201708Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201609Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201811RetrospectiveMember,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201026Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201307Member,dtr-types:domainItemType
us-gaap,AccountingChangesTextBlock,dtr-types:textBlockItemType
us-gaap,AccountingPoliciesAbstract,xbrli:stringItemType
us-gaap,AccountingStandardsUpdate201510Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201409Member,dtr-types:domainItemType
us-gaap,AccountingForCertainLoansAndDebtSecuritiesAcquiredInTransferDisclosureTextBlock,dtr-types:textBlockItemType
us-gaap,AccountingStandardsUpdate201502Member,dtr-types:domainItemType
us-gaap,AccountingChangesAndErrorCorrectionsTextBlock,dtr-types:textBlockItemType
us-gaap,AccountingGuidanceMember,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201507Member,dtr-types:domainItemType
us-gaap,AccountingChangesAndErrorCorrectionsAbstract,xbrli:stringItemType
us-gaap,AccountingStandardsUpdate201104Member,dtr-types:domainItemType
us-gaap,AccountsReceivableNoncurrentOriginatedTwoYearsBeforeLatestFiscalYear,xbrli:monetaryItemType
us-gaap,AccountsReceivableNoncurrentPastDueTableTextBlock,dtr-types:textBlockItemType
us-gaap,AccountsPayableRelatedPartiesNoncurrent,xbrli:monetaryItemType
us-gaap,AccountsPayableAndAccruedLiabilitiesFairValueDisclosureAbstract,xbrli:stringItemType
us-gaap,AccountsReceivableFromSecuritization,xbrli:monetaryItemType
us-gaap,AccountsReceivableNoncurrentCreditQualityIndicatorUpdateFrequencyExtensibleList,enum2:enumerationSetItemType
us-gaap,AccountsReceivableNoncurrentOriginatedThreeYearsBeforeLatestFiscalYear,xbrli:monetaryItemType
us-gaap,AccountsReceivableNoncurrentThresholdPeriodPastDue,xbrli:durationItemType
us-gaap,AccountsReceivableSale,xbrli:monetaryItemType
us-gaap,AccountsPayableAndAccruedLiabilitiesNoncurrentAbstract,xbrli:stringItemType
us-gaap,AccountsPayableCurrentAbstract,xbrli:stringItemType
us-gaap,AccountsAndNotesReceivableUnclassifiedAbstract,xbrli:stringItemType
us-gaap,AccountsReceivableNoncurrentAccruedInterestAfterAllowanceForCreditLoss,xbrli:monetaryItemType
us-gaap,AccountsReceivableNoncurrentOriginatedInFiscalYearBeforeLatestFiscalYear,xbrli:monetaryItemType
us-gaap,AccountsPayableAndOtherAccruedLiabilities,xbrli:monetaryItemType
us-gaap,AccountsReceivableUnapprovedContractClaimsAmountExpectedToBeCollectedWithinOneYear,xbrli:monetaryItemType
us-gaap,AccountsPayableCurrent,xbrli:monetaryItemType
us-gaap,AccountsAndOtherReceivablesNetCurrent,xbrli:monetaryItemType
us-gaap,AccountsReceivableNoncurrentAccruedInterestWriteoff,xbrli:monetaryItemType
us-gaap,AccountsReceivableNoncurrentNotPastDue,xbrli:monetaryItemType
us-gaap,AccountsReceivableBeforeAllowanceForCreditLossNoncurrentAbstract,xbrli:stringItemType
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,xbrli:monetaryItemType
us-gaap,AccountsReceivableNoncurrentCreditQualityIndicatorTableTextBlock,dtr-types:textBlockItemType
us-gaap,AccountsPayableOtherCurrent,xbrli:monetaryItemType
us-gaap,AccountsReceivableNoncurrentNonaccrualNoAllowance,xbrli:monetaryItemType
us-gaap,AccountsReceivableNoncurrentAccountingPolicyElectionAdjustmentOfEffectiveInterestRate,xbrli:booleanItemType
us-gaap,AccountsReceivableNoncurrentThresholdPeriodPastDueWriteoff,xbrli:durationItemType
us-gaap,AccountsReceivableNoncurrentCreditQualityIndicatorTable,xbrli:stringItemType
us-gaap,AccountsReceivableNoncurrentOriginatedFourYearsBeforeLatestFiscalYear,xbrli:monetaryItemType
us-gaap,AccountsReceivableNoncurrentPastDue,xbrli:monetaryItemType
us-gaap,AccountsPayableAndAccruedLiabilitiesFairValueDisclosure,xbrli:monetaryItemType
us-gaap,AccountsPayableInterestBearingCurrent,xbrli:monetaryItemType
us-gaap,AccountsReceivableExcludingAccruedInterestBeforeAllowanceForCreditLossNoncurrent,xbrli:monetaryItemType
us-gaap,AccountsReceivablePurchase,xbrli:monetaryItemType
us-gaap,AccountsAndNotesReceivableNetAbstract,xbrli:stringItemType
us-gaap,AccountsReceivableNoncurrentAccruedInterestAfterAllowanceForCreditLossStatementOfFinancialPositionExtensibleList,enum2:enumerationSetItemType
us-gaap,AccountsPayableUnderwritersPromotersAndEmployeesOtherThanSalariesAndWagesCurrentAndNoncurrent,xbrli:monetaryItemType
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrentAbstract,xbrli:stringItemType
us-gaap,AccountsPayableAndOtherAccruedLiabilitiesCurrent,xbrli:monetaryItemType
us-gaap,AccountsPayableRelatedPartiesCurrentAndNoncurrent,xbrli:monetaryItemType
us-gaap,AccountsPayableTradeCurrentAndNoncurrent,xbrli:monetaryItemType
us-gaap,AccountsReceivableNoncurrentAccountingPolicyElectionNotToMeasureAllowanceForCreditLossForAccruedInterest,xbrli:booleanItemType
us-gaap,AccountsPayableOtherCurrentAndNoncurrent,xbrli:monetaryItemType
us-gaap,AccountsReceivableNoncurrentPastDueTable,xbrli:stringItemType
us-gaap,AccountsReceivableNoncurrent90DaysOrMorePastDueStillAccruing,xbrli:monetaryItemType
us-gaap,AccountsReceivableNoncurrentNonaccrualInterestIncome,xbrli:monetaryItemType
us-gaap,AccountsReceivableNoncurrentCreditQualityIndicatorDateUpdated,xbrli:dateItemType
us-gaap,AccountsReceivableNoncurrentOriginatedInCurrentFiscalYear,xbrli:monetaryItemType
us-gaap,AccountsPayableAccruedLiabilitiesAndOtherLiabilitiesDisclosureNoncurrentTextBlock,dtr-types:textBlockItemType
us-gaap,AccountsPayableCurrentAndNoncurrentAbstract,xbrli:stringItemType
us-gaap,AccountsAndFinancingReceivableAllowanceForCreditLoss,xbrli:monetaryItemType
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrentAbstract,xbrli:stringItemType
us-gaap,AccountsReceivableAllowanceForCreditLossTableTextBlock,dtr-types:textBlockItemType
us-gaap,AccountsPayableAccruedLiabilitiesAndOtherLiabilitiesDisclosureCurrentTextBlock,dtr-types:textBlockItemType
us-gaap,AccountsAndNontradeReceivableTextBlock,dtr-types:textBlockItemType
us-gaap,AccountsReceivableChangeInMethodCreditLossExpenseReversal,xbrli:monetaryItemType
us-gaap,AccountsReceivableUnapprovedContractClaimsAmountAbstract,xbrli:stringItemType
us-gaap,AccountsPayableMember,dtr-types:domainItemType
us-gaap,AccountsPayableAndAccruedLiabilitiesNoncurrent,xbrli:monetaryItemType
us-gaap,AccountsReceivableExcludingAccruedInterestAfterAllowanceForCreditLossNoncurrentAbstract,xbrli:stringItemType
us-gaap,AccountsReceivableUnapprovedContractClaims,xbrli:monetaryItemType
us-gaap,AccountsPayableAndAccruedLiabilitiesDisclosureTextBlock,dtr-types:textBlockItemType
us-gaap,AccountsPayableInterestBearingCurrentAndNoncurrent,xbrli:monetaryItemType
us-gaap,AccountsAndNotesReceivableNet,xbrli:monetaryItemType
us-gaap,AccountsReceivableNoncurrentAccountingPolicyElectionAccruedInterestWriteoffMethodFixedList,us-types:accruedInterestWriteOffMethodItemType
us-gaap,AccountsPayableAndAccruedLiabilitiesMember,dtr-types:domainItemType
us-gaap,AccountsPayableRelatedPartiesCurrent,xbrli:monetaryItemType
us-gaap,AccountsReceivableRepaymentThroughOperationOrSaleOfCollateralCollateralExtensibleList,enum2:enumerationSetItemType
us-gaap,AccountsReceivableExcludingAccruedInterestAfterAllowanceForCreditLossNoncurrent,xbrli:monetaryItemType
us-gaap,AccountsReceivableAllowanceForCreditLossExcludingAccruedInterestNoncurrent,xbrli:monetaryItemType
us-gaap,AccountsReceivableNoncurrentOriginatedFiveOrMoreYearsBeforeLatestFiscalYear,xbrli:monetaryItemType
us-gaap,AccountsReceivableNoncurrentNonaccrual,xbrli:monetaryItemType
